RowID,Player,Measure,Year,Values
129,Dwayne Wade,Salary,2007,13041250
130,Kobe Bryant,Games Played,2007,82
131,Joe Johnson,Games Played,2007,82
132,LeBron James,Games Played,2007,75
133,Carmelo Anthony,Games Played,2007,77
134,Dwight Howard,Games Played,2007,82
135,Chris Bosh,Games Played,2007,67
136,Chris Paul,Games Played,2007,80
137,Kevin Durant,Games Played,2007,80
138,Derrick Rose,Games Played,2007,40
139,Dwayne Wade,Games Played,2007,51
140,Kobe Bryant,Minutes Played,2007,3192
141,Joe Johnson,Minutes Played,2007,3343
142,LeBron James,Minutes Played,2007,3027
143,Carmelo Anthony,Minutes Played,2007,2806
144,Dwight Howard,Minutes Played,2007,3088
145,Chris Bosh,Minutes Played,2007,2425
146,Chris Paul,Minutes Played,2007,3006
147,Kevin Durant,Minutes Played,2007,2768
148,Derrick Rose,Minutes Played,2007,1168
149,Dwayne Wade,Minutes Played,2007,1954
150,Kobe Bryant,Field Goals,2007,775
151,Joe Johnson,Field Goals,2007,647
152,LeBron James,Field Goals,2007,794
153,Carmelo Anthony,Field Goals,2007,728
154,Dwight Howard,Field Goals,2007,583
155,Chris Bosh,Field Goals,2007,507
156,Chris Paul,Field Goals,2007,630
157,Kevin Durant,Field Goals,2007,587
158,Derrick Rose,Field Goals,2007,208
159,Dwayne Wade,Field Goals,2007,439
160,Kobe Bryant,Field Goal Attempts,2007,1690
161,Joe Johnson,Field Goal Attempts,2007,1497
162,LeBron James,Field Goal Attempts,2007,1642
163,Carmelo Anthony,Field Goal Attempts,2007,1481
164,Dwight Howard,Field Goal Attempts,2007,974
165,Chris Bosh,Field Goal Attempts,2007,1027
166,Chris Paul,Field Goal Attempts,2007,1291
167,Kevin Durant,Field Goal Attempts,2007,1366
168,Derrick Rose,Field Goal Attempts,2007,436
169,Dwayne Wade,Field Goal Attempts,2007,937
170,Kobe Bryant,Points,2007,2323
171,Joe Johnson,Points,2007,1779
172,LeBron James,Points,2007,2250
173,Carmelo Anthony,Points,2007,1978
174,Dwight Howard,Points,2007,1695
175,Chris Bosh,Points,2007,1496
176,Chris Paul,Points,2007,1684
177,Kevin Durant,Points,2007,1624
178,Derrick Rose,Points,2007,597
179,Dwayne Wade,Points,2007,1254
180,Kobe Bryant,Salary,2008,21262500
181,Joe Johnson,Salary,2008,14232567
182,LeBron James,Salary,2008,14410581
183,Carmelo Anthony,Salary,2008,14410581
184,Dwight Howard,Salary,2008,13758000
185,Chris Bosh,Salary,2008,14410581
186,Chris Paul,Salary,2008,4574189
187,Kevin Durant,Salary,2008,4484040
188,Derrick Rose,Salary,2008,4822800
189,Dwayne Wade,Salary,2008,14410581
190,Kobe Bryant,Games Played,2008,82
191,Joe Johnson,Games Played,2008,79
192,LeBron James,Games Played,2008,81
193,Carmelo Anthony,Games Played,2008,66
194,Dwight Howard,Games Played,2008,79
195,Chris Bosh,Games Played,2008,77
196,Chris Paul,Games Played,2008,78
197,Kevin Durant,Games Played,2008,74
198,Derrick Rose,Games Played,2008,81
199,Dwayne Wade,Games Played,2008,79
200,Kobe Bryant,Minutes Played,2008,2960
201,Joe Johnson,Minutes Played,2008,3124
202,LeBron James,Minutes Played,2008,3054
203,Carmelo Anthony,Minutes Played,2008,2277
204,Dwight Howard,Minutes Played,2008,2821
205,Chris Bosh,Minutes Played,2008,2928
206,Chris Paul,Minutes Played,2008,3002
207,Kevin Durant,Minutes Played,2008,2885
208,Derrick Rose,Minutes Played,2008,3000
209,Dwayne Wade,Minutes Played,2008,3048
210,Kobe Bryant,Field Goals,2008,800
211,Joe Johnson,Field Goals,2008,620
212,LeBron James,Field Goals,2008,789
213,Carmelo Anthony,Field Goals,2008,535
214,Dwight Howard,Field Goals,2008,560
215,Chris Bosh,Field Goals,2008,615
216,Chris Paul,Field Goals,2008,631
217,Kevin Durant,Field Goals,2008,661
218,Derrick Rose,Field Goals,2008,574
219,Dwayne Wade,Field Goals,2008,854
220,Kobe Bryant,Field Goal Attempts,2008,1712
221,Joe Johnson,Field Goal Attempts,2008,1420
222,LeBron James,Field Goal Attempts,2008,1613
223,Carmelo Anthony,Field Goal Attempts,2008,1207
224,Dwight Howard,Field Goal Attempts,2008,979
225,Chris Bosh,Field Goal Attempts,2008,1263
226,Chris Paul,Field Goal Attempts,2008,1255
227,Kevin Durant,Field Goal Attempts,2008,1390
228,Derrick Rose,Field Goal Attempts,2008,1208
229,Dwayne Wade,Field Goal Attempts,2008,1739
230,Kobe Bryant,Points,2008,2201
231,Joe Johnson,Points,2008,1688
232,LeBron James,Points,2008,2304
233,Carmelo Anthony,Points,2008,1504
234,Dwight Howard,Points,2008,1624
235,Chris Bosh,Points,2008,1746
236,Chris Paul,Points,2008,1781
237,Kevin Durant,Points,2008,1871
238,Derrick Rose,Points,2008,1361
239,Dwayne Wade,Points,2008,2386
240,Kobe Bryant,Salary,2009,23034375
241,Joe Johnson,Salary,2009,14976754
242,LeBron James,Salary,2009,15779912
243,Carmelo Anthony,Salary,2009,15779912
244,Dwight Howard,Salary,2009,15202590
245,Chris Bosh,Salary,2009,15779912
246,Chris Paul,Salary,2009,13520500
247,Kevin Durant,Salary,2009,4796880
248,Derrick Rose,Salary,2009,5184480
249,Dwayne Wade,Salary,2009,15779912
250,Kobe Bryant,Games Played,2009,73
251,Joe Johnson,Games Played,2009,76
252,LeBron James,Games Played,2009,76
253,Carmelo Anthony,Games Played,2009,69
254,Dwight Howard,Games Played,2009,82
255,Chris Bosh,Games Played,2009,70
256,Chris Paul,Games Played,2009,45
257,Kevin Durant,Games Played,2009,82
258,Derrick Rose,Games Played,2009,78
259,Dwayne Wade,Games Played,2009,77
260,Kobe Bryant,Minutes Played,2009,2835
261,Joe Johnson,Minutes Played,2009,2886
262,LeBron James,Minutes Played,2009,2966
263,Carmelo Anthony,Minutes Played,2009,2634
264,Dwight Howard,Minutes Played,2009,2843
265,Chris Bosh,Minutes Played,2009,2526
